NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GARS1	2933	0.1714411973953247	-0.21048117	No	
row_1	RPLP0	8878	-0.10199917107820511	-0.64722943	No	
row_2	RPS21	9009	-0.10896848142147064	-0.6523507	No	
row_3	RPL12	9149	-0.11539191007614136	-0.65787315	No	
row_4	RPL28	9272	-0.12121623754501343	-0.66189253	No	
row_5	RPLP1	9274	-0.12136620283126831	-0.6569288	No	
row_6	RPL15	9803	-0.1486978381872177	-0.68992835	No	
row_7	RPL10	9805	-0.14873819053173065	-0.6838284	No	
row_8	RPL7A	10186	-0.17048469185829163	-0.70494354	No	
row_9	RPS8	10334	-0.1807834655046463	-0.708345	No	
row_10	RPS4X	10521	-0.1933870017528534	-0.71411675	Yes	
row_11	RPL27A	10579	-0.1975574791431427	-0.7101449	Yes	
row_12	RPS11	10629	-0.20171786844730377	-0.7054068	Yes	
row_13	RPS19	10662	-0.20346353948116302	-0.69933504	Yes	
row_14	RACK1	10759	-0.21034492552280426	-0.6977258	Yes	
row_15	RPS27	10813	-0.21358712017536163	-0.69279176	Yes	
row_16	RPL8	10904	-0.2213021218776703	-0.6902825	Yes	
row_17	RPS23	11029	-0.23258458077907562	-0.6898274	Yes	
row_18	RPS16	11083	-0.2361648678779602	-0.68395615	Yes	
row_19	RPL31	11124	-0.23947113752365112	-0.67698324	Yes	
row_20	RPS15	11173	-0.24322493374347687	-0.670448	Yes	
row_21	RPL30	11324	-0.25755733251571655	-0.6708852	Yes	
row_22	RPL3	11326	-0.25780677795410156	-0.66025776	Yes	
row_23	RPS14	11369	-0.26242512464523315	-0.6524804	Yes	
row_24	RPL19	11392	-0.2655058801174164	-0.6430914	Yes	
row_25	RPS5	11430	-0.2687750458717346	-0.63467944	Yes	
row_26	RPL37	11439	-0.26964908838272095	-0.62407976	Yes	
row_27	RPL22	11503	-0.27660199999809265	-0.6172719	Yes	
row_28	RPL13	11542	-0.2808026671409607	-0.6084349	Yes	
row_29	RPS24	11604	-0.2892359495162964	-0.60095423	Yes	
row_30	RPL6	11607	-0.2894436717033386	-0.5890877	Yes	
row_31	RPLP2	11617	-0.29010602831840515	-0.5777131	Yes	
row_32	RPL4	11666	-0.2957981526851654	-0.56899554	Yes	
row_33	RPL26	11674	-0.29629844427108765	-0.55721545	Yes	
row_34	RPL35	11716	-0.3005048930644989	-0.5477832	Yes	
row_35	RPL17	11749	-0.3047431409358978	-0.5375073	Yes	
row_36	RPL10A	11788	-0.3100014328956604	-0.52745825	Yes	
row_37	RPL36	11827	-0.3177618384361267	-0.5170871	Yes	
row_38	FAU	11854	-0.32328638434410095	-0.50559634	Yes	
row_39	RPL18	11870	-0.3256289064884186	-0.49319226	Yes	
row_40	RPL38	11873	-0.3259750306606293	-0.47980934	Yes	
row_41	RPS25	11896	-0.3290282189846039	-0.46778348	Yes	
row_42	RPL32	11918	-0.33356359601020813	-0.45549518	Yes	
row_43	RPL23A	11955	-0.3378375768661499	-0.44414228	Yes	
row_44	RPL13A	11964	-0.33957424759864807	-0.43063998	Yes	
row_45	UBA52	11988	-0.3436826467514038	-0.41808	Yes	
row_46	RPL14	11998	-0.3451676666736603	-0.40441972	Yes	
row_47	RPL29	12036	-0.3498423993587494	-0.3926427	Yes	
row_48	RPS13	12044	-0.35137906670570374	-0.37857622	Yes	
row_49	RPL34	12053	-0.35277387499809265	-0.364526	Yes	
row_50	RPS10	12084	-0.3590686023235321	-0.35184667	Yes	
row_51	RPL5	12085	-0.35935884714126587	-0.33692962	Yes	
row_52	RPS7	12165	-0.37317460775375366	-0.3273	Yes	
row_53	RPL24	12181	-0.3769437372684479	-0.31276584	Yes	
row_54	RPS2	12189	-0.37811675667762756	-0.29758945	Yes	
row_55	RPS20	12233	-0.38652855157852173	-0.28473473	Yes	
row_56	RPL35A	12235	-0.387062668800354	-0.26874185	Yes	
row_57	RPL37A	12258	-0.39100515842437744	-0.25414333	Yes	
row_58	RPS12	12265	-0.3917199373245239	-0.23832807	Yes	
row_59	RPS15A	12298	-0.3990958333015442	-0.22413558	Yes	
row_60	RPS9	12302	-0.3997804522514343	-0.20776318	Yes	
row_61	RPS29	12373	-0.41608303785324097	-0.19568475	Yes	
row_62	RPS18	12534	-0.45792335271835327	-0.18854655	Yes	
row_63	RPL27	12565	-0.4642496407032013	-0.17150114	Yes	
row_64	RPSA	12602	-0.47591546177864075	-0.1544166	Yes	
row_65	RPS6	12625	-0.48489782214164734	-0.13592055	Yes	
row_66	RPL23	12639	-0.49101176857948303	-0.116503015	Yes	
row_67	RPL11	12664	-0.49814900755882263	-0.09760529	Yes	
row_68	RPS3A	12728	-0.5232251286506653	-0.080560036	Yes	
row_69	RPL41	12799	-0.5502439141273499	-0.06291256	Yes	
row_70	RPL21	12810	-0.5547853112220764	-0.040625192	Yes	
row_71	RPS3	12943	-0.6289805769920349	-0.024309084	Yes	
row_72	RPL39	13081	-0.7163982391357422	-0.0047351946	Yes	
row_73	RPL36A	13305	-0.9540812969207764	0.018324677	Yes	
